nom,point_depart,point_arrivee,distance_km,coords
Boulevard Allal El Fassi,"(-4.97885, 34.0542546)","(-4.9886662, 34.0514198)",1.01,"[(-4.97885, 34.0542546), (-4.9790479, 34.0539922), (-4.9791757, 34.0538682), (-4.9793197, 34.0537481), (-4.979476, 34.0536375), (-4.9796303, 34.0535363), (-4.9798018, 34.0534413), (-4.9799959, 34.0533527), (-4.9801891, 34.0532726), (-4.9804486, 34.0531942), (-4.9807128, 34.0531353), (-4.9809775, 34.0531028), (-4.9811237, 34.0530783), (-4.9812658, 34.0530472), (-4.9814066, 34.0530039), (-4.9815401, 34.0529572), (-4.981646, 34.05292), (-4.9817486, 34.0528761), (-4.9818613, 34.052825), (-4.9820128, 34.0527405), (-4.9821053, 34.0526728), (-4.9822944, 34.0525372), (-4.9826954, 34.0522505), (-4.982967, 34.0520411), (-4.9832252, 34.0518483), (-4.983363, 34.051768), (-4.9834072, 34.0517425), (-4.9834853, 34.0517061), (-4.9836188, 34.0516494), (-4.9837281, 34.0516099), (-4.9838622, 34.0515683), (-4.9840815, 34.0515172), (-4.9842457, 34.0514799), (-4.9843249, 34.0514705), (-4.9844268, 34.0514641), (-4.984695, 34.0514594), (-4.9852851, 34.0514638), (-4.9858671, 34.0514799), (-4.9863754, 34.0514849), (-4.9869883, 34.0514944), (-4.9873813, 34.0515049), (-4.9876468, 34.0514994), (-4.9878446, 34.0514972), (-4.9881222, 34.0514899), (-4.9882476, 34.0514783), (-4.9883763, 34.0514599), (-4.9885882, 34.0514294), (-4.9886662, 34.0514198)]"
Boulevard Allal El Fassi,"(-4.978111, 34.0550851)","(-4.97885, 34.0542546)",0.12,"[(-4.978111, 34.0550851), (-4.9783054, 34.0549424), (-4.97842, 34.054831), (-4.9785658, 34.054656), (-4.9787032, 34.0544543), (-4.97885, 34.0542546)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0111563, 34.0408906)","(-5.0098146, 34.040782)",0.13,"[(-5.0111563, 34.0408906), (-5.0105522, 34.0408856), (-5.010355, 34.0408822), (-5.0102323, 34.0408766), (-5.010125, 34.0408617), (-5.009971, 34.040831), (-5.0098146, 34.040782)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0067186, 34.0391007)","(-5.0051233, 34.0382316)",0.18,"[(-5.0067186, 34.0391007), (-5.0065593, 34.0390166), (-5.0051233, 34.0382316)]"
Boulevard Allal El Fassi,"(-4.9623317, 34.0618163)","(-4.9640386, 34.0600114)",0.26,"[(-4.9623317, 34.0618163), (-4.9623656, 34.0617802), (-4.9624112, 34.0617303), (-4.9624715, 34.0616537), (-4.9625279, 34.0615792), (-4.9625842, 34.0614958), (-4.9626335, 34.0614149), (-4.9627981, 34.0611431), (-4.9628498, 34.061047), (-4.9630233, 34.0607563), (-4.9630938, 34.0606592), (-4.9631488, 34.0605903), (-4.9632056, 34.0605236), (-4.9632896, 34.0604404), (-4.963375, 34.0603776), (-4.9634667, 34.0602937), (-4.963515, 34.0602626), (-4.9636155, 34.0602059), (-4.9637272, 34.0601472), (-4.9639346, 34.0600454), (-4.9640386, 34.0600114)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0271007, 34.0397415)","(-5.0225638, 34.0387524)",0.44,"[(-5.0271007, 34.0397415), (-5.0265455, 34.0395726), (-5.0259595, 34.0393859), (-5.0252058, 34.0391291), (-5.0248075, 34.0389969), (-5.0243569, 34.0388558), (-5.0241047, 34.0387991), (-5.0239036, 34.0387557), (-5.0236662, 34.0387224), (-5.0233899, 34.0387091), (-5.0229447, 34.0387202), (-5.0225638, 34.0387524)]"
Avenue Hassan II شارع الحسن الثاني,"(-4.9982139, 34.0434565)","(-4.9991185, 34.0423212)",0.15,"[(-4.9982139, 34.0434565), (-4.9989798, 34.042496), (-4.9991185, 34.0423212)]"
Route Sefrou طريق صفرو,"(-4.9791253, 34.0096539)","(-4.9819783, 34.0135297)",0.51,"[(-4.9791253, 34.0096539), (-4.979183, 34.0096821), (-4.9792305, 34.0097163), (-4.9792856, 34.0097718), (-4.9813731, 34.012504), (-4.9818908, 34.0131893), (-4.9819172, 34.0132384), (-4.981935, 34.0132827), (-4.9819441, 34.0133234), (-4.9819532, 34.0133671), (-4.9819595, 34.0134077), (-4.9819783, 34.0135297)]"
Route Sefrou طريق صفرو,"(-4.9821825, 34.0133689)","(-4.9820085, 34.0131356)",0.03,"[(-4.9821825, 34.0133689), (-4.9820778, 34.0132299), (-4.9820085, 34.0131356)]"
Route Sefrou طريق صفرو,"(-4.9822594, 34.0134691)","(-4.9821825, 34.0133689)",0.01,"[(-4.9822594, 34.0134691), (-4.9821825, 34.0133689)]"
